category,datetime,headline,id,image,related,source,summary,url
company,1776979347,"CNBC Daily Open: Truce on land, storm at sea — markets are counting the cost",139878572,https://image.cnbcfm.com/api/v1/image/108288964-1775687517946-108288964-1775687378605-gettyimages-2248969384-nikoubazl-iranianp251202_npN8U.jpeg?v=1775687551&w=1920&h=1080,XOM,CNBC,"The vital maritime passage has been under a ""double-blockade"" with neither Iran nor the U.S. allowing vessels to enter or exit the strait. ",https://finnhub.io/api/news?id=b07439b7886fa5428b444430d00a44254f1baee66fce80350472c6b5114a950c
company,1776965580,ExxonMobil Awards Saipem $150M Contract for Longtail Development,139867766,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,XOM,Yahoo,"XOM awards Saipem a $150M contract for Guyana's Longtail project, advancing preliminary detailed engineering and procurement work.",https://finnhub.io/api/news?id=d565ca21160ac8c978db782beabdd04e500a93f75e5cb5f5736d88f21a549609
company,1776959940,Eni Stock Looks Undervalued Ahead of Q1 Results: Time to Buy?,139866254,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,XOM,Yahoo,"E reports Q1 2026 results April 24; shares are up 87.9% in a year, yet the stock trades at an EV/EBITDA discount to the industry.",https://finnhub.io/api/news?id=f834ba388699efbe699cf124355bea723ed357f16ccdaa87c00ce1616f58f957
company,1776954789,QatarEnergy launches first LNG exports from $10bn Golden Pass project in Texas,139864187,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,XOM,Yahoo,"QatarEnergy has launched the first LNG exports from its Golden Pass project in Texas, deepening its presence in the US and strengthening its position in global gas markets.View on euronews",https://finnhub.io/api/news?id=9b9d83e03538fd0bc4afa296614d0caa194dd4d0369eaefaa456516c7f29638d
company,1776954754,"QatarEnergy, ExxonMobil Ship 1st Cargo from Texas LNG Project",139873313,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,XOM,Yahoo,QatarEnergy said its LNG trading arm would offtake 70 percent of Golden Pass' production.,https://finnhub.io/api/news?id=a760c33c92f986ec291d84e56617b61d1392d930e13fb7b72ddd81c561be4f51
company,1776952261,Golden Pass LNG begins exports from Sabine Pass terminal,139862667,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,XOM,Yahoo,Golden Pass LNG is a three-train facility with a nameplate capacity of around 18.1mtpa.,https://finnhub.io/api/news?id=607355a87cd9d8e7c5489f42fbaa60b3d259fd32005f7e3ef51a0d8c2d158136
company,1776952020,"The Zacks Analyst Blog  Exxon, International Business Machines, Citigroup, Natural Resource Partners and Oil-Dri",139864188,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,XOM,Yahoo,"XOM, IBM and C draw analyst focus as production growth, AI momentum and transformation efforts drive performance across energy, tech and banking.",https://finnhub.io/api/news?id=9ffdf6f7b3980552b327fb8ab78cf4b3af9613aedefbfe8182419b18362fd093
company,1776946560,Buy 5 High-Flying Old Economy Stocks of 2026 With More Room to Run,139862668,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,XOM,Yahoo,"ADM, XOM, CVX, WAB and CMI have surged 20%+ in 2026, backed by strong earnings outlooks and tailwinds that suggest further upside ahead.",https://finnhub.io/api/news?id=c4ab294bc2fae088cb77bee6a1b6996961b6cf0c77add8e1b404922b0538c67e
company,1776942000,My Two Top High-Yield Picks For April 2026: One Yields More Than 11%,139863627,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2155511713/image_2155511713.jpg?io=getty-c-w1536,XOM,SeekingAlpha,I see BB Seguridade ParticipaÃ§Ãµes and Chevron as excellent investment options for those investors who prioritize dividend income. Read the full analysis here.,https://finnhub.io/api/news?id=aa53b0778aabf4fa4069db0a004fac6ef50b8e75e3a1470f028ebfd6d2496e79
company,1776939274,"GNT: Fundamentals For Gold Remain Strong, But This Fund Sacrifices Some Upside",139863317,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1363128262/image_1363128262.jpg?io=getty-c-w1536,XOM,SeekingAlpha,"The GAMCO Natural Resources, Gold & Income Trust (GNT) offers an 8.18% yield via a covered call strategy on a diversified natural resources and gold portfolio. Read the full analysis here.",https://finnhub.io/api/news?id=a4af19ece0b500364153e20f461a3fe6634fdb2c2873093aef73d5452f3f6cb3
