category,datetime,headline,id,image,related,source,summary,url
company,1776963729,"Raymond James CEO: Focusing on Tech, Products, AI",139868787,,RJF,Finnhub,"Raymond James CEO Paul Shoukry discusses the health of their 'record' recruiting pipeline, and a renewed focus on technologies, products, and AI to help advisors provide more holistic advice for...",https://finnhub.io/api/news?id=9658e9b7bb2e0d284661082f753ac8bafeae0c2c944ab67733c8b6012bc5be31
company,1776960514,"UBS Maintains Neutral on Raymond James Finl, Raises Price Target to $166",139878206,,RJF,Benzinga,UBS  analyst Michael Brown   maintains Raymond James Finl (NYSE:RJF) with a Neutral and raises the price target from $158 to $166.,https://finnhub.io/api/news?id=63f9a20c4c41bef2e02625c12d72d13ed237099edd1a7177d26007630e2e50d9
company,1776959591,Raymond James Recruiting Spend Helps Drive Net New Asset Gains,139866563,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,RJF,Yahoo,"Raymond James also said the majority of its $1.1 billion annual technology spend was going toward its private client business, including the rollout of AI agent Rai.",https://finnhub.io/api/news?id=c7290f2bdf140100653df86daca9d10b696ec1743b4537d0290a31ad82fd699e
company,1776954917,"Raymond James upgrades On Holding, downgrades Deckers ahead of earnings",139864590,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,RJF,Yahoo,"Investing.com -- Raymond James has reshuffled its sportswear and softlines ratings ahead of first-quarter earnings, lifting On Holding to Strong Buy while stepping back on Deckers, as the firm navigates a consumer backdrop shaped by tax refund tailwinds and rising oil prices.",https://finnhub.io/api/news?id=57dd079ccd407cd644520f91332f2ba2280a2132e71d9c5a1f8940abb5a5df04
company,1776954000,"Raymond James Q2 Earnings Beat on Higher Revenues, Cost Woes Remain",139864285,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,RJF,Yahoo,"RJF tops Q2 earnings estimates on record revenues and asset growth, but rising expenses temper gains as costs climb across most components.",https://finnhub.io/api/news?id=a4d1b011885fdc0c609e1a3828d656b952063071b0732479f208460de1373eed
company,1776952163,RJF Q1 Deep Dive: Adviser Recruiting and Technology Investment Drive Growth Amid Stable Margins,139863010,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,RJF,Yahoo,"Financial services firm Raymond James Financial (NYSE:RJF) reported Q1 CY2026 results exceeding the market’s revenue expectations, with sales up 25.2% year on year to $4.26 billion. Its non-GAAP profit of $2.83 per share was 2.5% above analysts’ consensus estimates.",https://finnhub.io/api/news?id=9580da6be193ff5138bf27e47a1abfc2072eaf5e04752c7c0327fde7ca73d491
company,1776948895,"TD Cowen Maintains Hold on Raymond James Finl, Raises Price Target to $159",139878207,,RJF,Benzinga,TD Cowen  analyst Bill Katz   maintains Raymond James Finl (NYSE:RJF) with a Hold and raises the price target from $156 to $159.,https://finnhub.io/api/news?id=179e671868212d96d1d358693695b03075ec99be32439b8bcc978b9bd6b542c7
company,1776943669,"Barclays Maintains Overweight on Raymond James Finl, Raises Price Target to $182",139878208,,RJF,Benzinga,Barclays  analyst Benjamin Budish   maintains Raymond James Finl (NYSE:RJF) with a Overweight and raises the price target from $174 to $182.,https://finnhub.io/api/news?id=d66b1f185316054caed012823fdaacdf73455c9ccbec4d4f7fff04d301d2b394
company,1776942559,Raymond James CEO: Market sentiment among investors 'still high historically' despite war,139866140,https://image.cnbcfm.com/api/v1/image/108296246-17769562951776956292-45459256293-1080pnbcnews.jpg?v=1776956295&w=1920&h=1080,RJF,CNBC,"Paul Shoukry, CEO of Raymond James, joins 'Squawk on the Street' to discuss the company's latest earnings report, trends in investor behavior, how AI affects investment banking, and more.",https://finnhub.io/api/news?id=b856ff35ce16c178c1041caddf42311a8cc8944b2abf12cfb650e26efe662701
company,1776935343,"BMO Capital Maintains Market Perform on Raymond James Finl, Raises Price Target to $165",139863230,,RJF,Benzinga,BMO Capital  analyst Brennan Hawken   maintains Raymond James Finl (NYSE:RJF) with a Market Perform and raises the price target from $152 to $165.,https://finnhub.io/api/news?id=54d7d3f6f0ca8e7da0bc1cf1824a714878df65681f80f0f971ae9083bfbd33c8
company,1776927997,Raymond James Financial Inc (RJF) Q2 2026 Earnings Call Highlights: Record Revenues and ...,139859161,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,RJF,Yahoo,Raymond James Financial Inc (RJF) reports a strong quarter with record revenues and significant investments in technology to drive future growth.,https://finnhub.io/api/news?id=cf0b89680836a7f4f62c6e3ecc90fe1e2505a9a9e155c438eace866846f3799f
company,1776903495,"Raymond James Financial, Inc. Q2 2026 Earnings Call Summary",139861411,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,RJF,Yahoo,"Moby summary of Raymond James Financial, Inc.'s Q2 2026 earnings call",https://finnhub.io/api/news?id=ecd1075248a1632ad25be3b907021b844467983e878b0fc975d5919a812795ad
company,1776902401,"Compared to Estimates, Raymond James Financial (RJF) Q2 Earnings: A Look at Key Metrics",139858307,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,RJF,Yahoo,"Although the revenue and EPS for Raymond James Financial (RJF) give a sense of how its business performed in the quarter ended March 2026, it might be worth considering how some key metrics compare with Wall Street estimates and the year-ago numbers.",https://finnhub.io/api/news?id=95eaab67ca70454a510e2271302598ceb63398de8c373f73256e5f2f30920ef1
