category,datetime,headline,id,image,related,source,summary,url
company,1776979347,"CNBC Daily Open: Truce on land, storm at sea — markets are counting the cost",139878572,https://image.cnbcfm.com/api/v1/image/108288964-1775687517946-108288964-1775687378605-gettyimages-2248969384-nikoubazl-iranianp251202_npN8U.jpeg?v=1775687551&w=1920&h=1080,DAL,CNBC,"The vital maritime passage has been under a ""double-blockade"" with neither Iran nor the U.S. allowing vessels to enter or exit the strait. ",https://finnhub.io/api/news?id=b07439b7886fa5428b444430d00a44254f1baee66fce80350472c6b5114a950c
company,1776976200,Delta Air Lines Declares Quarterly Dividend,139869605,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DAL,Yahoo,"Delta Air Lines' (NYSE:DAL) Board of Directors today declared a quarterly dividend of $0.1875 per share. The dividend is payable to shareholders of record as of the close of business on May 14, 2026, and will be paid on June 4, 2026.",https://finnhub.io/api/news?id=75e07205eaaa3221a8e428cfe8036ce8172a189f87f264d49af309c00e46d1c4
company,1776973740,The Global Jet Fuel Crisis Is Just Getting Started,139869606,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DAL,Yahoo,"The Iran war has caused a mess throughout the entire oil market, but jet fuel is a particular point of pain, and Europe has been hit the hardest of all.",https://finnhub.io/api/news?id=6afd8e4e57730d070b31c2efac3de7c36f93229c1f9d7a57345689fd855d6bd5
company,1776969000,"Southwest Airlines Q1 Earnings Meet Estimates, Revenue Beat",139867976,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DAL,Yahoo,Southwest Airlines posts Q1 EPS in line as revenue tops estimates; new products lift record unit revenue despite higher fuel costs.,https://finnhub.io/api/news?id=d5c46bc74232488fb1186a717909ecf1c9ac6dd3c7973aabd4cb247efd8a74dc
company,1776965880,"CSX Q1 Earnings Beat Estimates, Revenues Lag, 2026 View Raised",139867926,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DAL,Yahoo,"CSX posts Q1 earnings beat but revenue miss, with stronger margins and an upgraded 2026 outlook signaling improved growth and cash flow expectations.",https://finnhub.io/api/news?id=61915ae5a11255caaf8af300b6e8c3db39dabfb468cea272cc4fe493d7757b9c
company,1776965271,"Delta Air Lines : TechOps advances global engine leadership, expands into India supporting IndiGo’s CFM56-5Bengines",139869047,,DAL,Finnhub,"Global Partners Delta TechOps advances global engine leadership, expands into India supporting IndiGo's CFM56-5Bengines The partnership between...",https://finnhub.io/api/news?id=8534a3e58ce560a6ec89c6bcaac11c018430ae60251f4d07da50d613f4d85ac7
company,1776963600,American Airlines boosts loyalty enrollments 25%,139869607,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DAL,Yahoo,"The carrier’s redesigned in-app loyalty experience and the introduction of free Wi-Fi encouraged AAdvantage sign-ups, according to CEO Robert Isom.",https://finnhub.io/api/news?id=26c693634d067f43db2d816bb0f17d03f924b8a1009c217e7442b18880a83dbd
company,1776960660,AAL Posts Narrower-Than-Expected Q1 Loss Amid Revenue Strength,139866518,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DAL,Yahoo,"American Airlines narrows its Q1 2026 loss as revenues rise 10.8%, helped by strong unit revenue trends despite a $320M winter-storm hit.",https://finnhub.io/api/news?id=695e7934fce7a409f84333a7184213335856175100613f33e36c73e26a461511
company,1776959621,"Another airline cancels summer flights, refunds available",139864526,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DAL,Yahoo,"Nearly two months following the U.S.-Israeli strike that took down Supreme Leader Ayatollah Khamenei, most major airlines are being forced to cancel flights in response to the global oil crisis that broke out when Iran closed the Strait of Hormuz in retaliation. Delta Air Lines and United Airlines ...",https://finnhub.io/api/news?id=2f08f299f00542b2279b549cd731ed50aada9d2bd57c122b3c7ffe772ceb02ec
company,1776959149,"AAL Cuts Outlook, But What It Signals For JETS ETF May Matter More",139879864,https://cdn.benzinga.com/files/images/story/2026/04/23/Phoenix--Az---December-7--2019-Photo-Of-.jpeg?width=2048&height=1536,DAL,Benzinga,"American Airlines&#39; earnings forecast cut highlights fuel costs pressure, raising the stakes for U.S. Global Jets ETF.",https://finnhub.io/api/news?id=0aa897a812075562f6c607dea40031d179e94018f55eac6435356247fa40f216
