category,datetime,headline,id,image,related,source,summary,url
company,1776974442,"Medtronic: Is This Dividend Aristocrat Finally A ""Buy"" Before Earnings?",139870699,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2205706076/image_2205706076.jpg?io=getty-c-w1536,BSX,SeekingAlpha,"Medtronic plc stock: hold amid slow growth, high debt and competition. Click for this MDT update and a look at recent whether it is a good value after its selloff.",https://finnhub.io/api/news?id=654a58a01b4e69dab086db198d42a3791f06a2a112901c1e6ad482be0ccd9744
company,1776964300,Boston Scientific Just Slashed Guidance and Wall Street Followed. Is the Pullback a Buying Opportunity?,139866436,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BSX,Yahoo,"Boston Scientific (NYSE:BSX) stock has taken a beating in 2026 after management cut full-year guidance on Wednesday. On Thursday, three major firms trimmed price targets while keeping bullish ratings intact. The setup looks like a classic reset-the-bar, then-outperform scenario for patient investors. Wells Fargo lowered its price target on Boston Scientific stock to $75 from ... Boston Scientific Just Slashed Guidance and Wall Street Followed. Is the Pullback a Buying Opportunity?",https://finnhub.io/api/news?id=e3bacffc6705aefcef8162c9d471e2a0f2d36316c58ec1c64294c153028a67ab
company,1776960022,"Boston Scientific 2026 Guidance Cut 'Prudent,' Q2 Trough Expected, RBC Says",139866437,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BSX,Yahoo,"Boston Scientific (BSX) posted Q1 sales and earnings per share beats alongside a ""prudent"" guidance",https://finnhub.io/api/news?id=63a7d738b605f08c4568c3954e1dcc75e60d1db33f1b8352350e5a7634fb915f
company,1776959651,Why BSX Stock's Q1 Beat Is A Lagging Indicator,139866256,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BSX,Yahoo,"The primary insight within Boston Scientific’s (BSX) Q1 2026 results is that the adjusted EPS beat of $0.80 acts as a lagging indicator, contrasting with a moderating trend in forward-looking growth. While management maintained a 28.0% operating margin, the decision to revise full-year 2026 organic revenue guidance from a 10%–11% range to 6.5%–8.0% is the critical signal for investors. This dynamic highlights a strategic divergence from other healthcare leaders. For instance, while our analysis",https://finnhub.io/api/news?id=0918df89b280d5d627ab5492395fcc973d12eab45216cf30599e68d6953fd7d4
company,1776953603,BSX Q1 Deep Dive: Market Outperformance Despite Lowered Guidance and Product-Specific Headwinds,139864424,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BSX,Yahoo,"Medical device company Boston Scientific (NYSE:BSX) announced better-than-expected revenue in Q1 CY2026, with sales up 11.6% year on year to $5.20 billion. On the other hand, next quarter’s revenue guidance of $5.39 billion was less impressive, coming in 2.9% below analysts’ estimates. Its non-GAAP profit of $0.80 per share was 1.6% above analysts’ consensus estimates.",https://finnhub.io/api/news?id=3f87d0d2b6d04f37f496fa604719cd054516dc20d3e742083a8d51eb92d57cdc
company,1776951850,"Texas Instruments upgraded, Avis downgraded: Wall Street's top analyst calls",139862705,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BSX,Yahoo,"Texas Instruments upgraded, Avis downgraded: Wall Street's top analyst calls",https://finnhub.io/api/news?id=b0317730de9b89faa8acef74601ba1b1bfddede808e2672de795e7fd74ba010d
company,1776951184,"Canaccord Genuity Maintains Buy on Boston Scientific, Lowers Price Target to $71",139882587,,BSX,Benzinga,Canaccord Genuity  analyst William Plovanic   maintains Boston Scientific (NYSE:BSX) with a Buy and lowers the price target from $109 to $71.,https://finnhub.io/api/news?id=f96c9709e82e27929ddedf8564b5eb61b28e6ed7492a1cb2a604bff511cf56f9
company,1776949800,Is Innovation-Led Growth Driving ISRG's Revenues Above Procedures?,139864325,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BSX,Yahoo,"ISRG's Q1 results show revenues outpacing procedures as da Vinci 5 drives pricing power, signaling a shift toward innovation-led, value-based growth.",https://finnhub.io/api/news?id=6d9ff3b60d1f0513d94ef3b7818633b21cf34c499d5ec75ed96c1b4f5c80b2af
company,1776949796,"RBC Capital Maintains Outperform on Boston Scientific, Lowers Price Target to $100",139882588,,BSX,Benzinga,RBC Capital  analyst Shagun Singh   maintains Boston Scientific (NYSE:BSX) with a Outperform and lowers the price target from $105 to $100.,https://finnhub.io/api/news?id=a0a03cf50546fbd9dd10671b4ae99357f7157ec28d2773b3f7c311dacf8e093b
company,1776945573,"Here Are Thursday’s Top Wall Street Analyst Research Calls: Boston Scientific, Datadog, Deckers Outdoor, McDonald’s, Murphy USA, On Semiconductor, Palantir Technologies, Texas Instruments, and More",139861526,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BSX,Yahoo,"Pre-Market Stock Futures: Futures are trading lower on this Thursday, but what a difference a month makes: 30 days ago, the worries over inflation and the spiraling situation in Iran were weighing heavily on the stock market. On Wednesday, the Nasdaq Composite and S&P 500 hit new all-time highs, driven by hopes for an extended ... Here Are Thursday’s Top Wall Street Analyst Research Calls: Boston Scientific, Datadog, Deckers Outdoor, McDonald’s, Murphy USA, On Semiconductor, Palantir Technologie",https://finnhub.io/api/news?id=4dfe33b84f9c948a5d3d8911743a90b06fa51755541de2d4125bcd6661099d52
