category,datetime,headline,id,image,related,source,summary,url
company,1776976440,"Top Research Reports for UnitedHealth, Morgan Stanley & RTX",139870522,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ANET,Yahoo,"UnitedHealth anchors a fresh batch of Zacks reports as UNH, MS and RTX navigate costs, capital markets strength and defense demand shifts.",https://finnhub.io/api/news?id=01fa23a96e09b8ac2fc51ded659406739bd42772d1538950cc32550fb607e959
company,1776970380,Cisco Cashes in on AI Order Momentum: More Upside Ahead in 2026?,139867962,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ANET,Yahoo,"CSCO rides on surging AI orders from hyperscalers, with demand accelerating sharply and partnerships expanding as it targets over $5B in fiscal 2026 AI deals.",https://finnhub.io/api/news?id=3de3e83a8a8d731cf7b938674c3b429288384bcb153d1b68b506e294df81dcf8
company,1776967201,"Is Arista Networks, Inc. (ANET) A Good Stock To Buy Now?",139867861,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ANET,Yahoo,"Is ANET a good stock to buy? We came across a bullish thesis on Arista Networks, Inc. on William’s Substack by William Fleming-Daniels. In this article, we will summarize the bulls’ thesis on ANET. Arista Networks, Inc.’s share was trading at $172.86 as of April 21st. ANET’s trailing and forward P/E were 62.86 and 48.78 respectively according […]",https://finnhub.io/api/news?id=7e97b3af4acda7022614a9836fe8fc8f5c331ae57c6ccb3445fa3dc28a6012cd
company,1776959107,Shares of companies in the broader tech sector are trading lower amid possible sympathy with ServiceNow and IBM.,139867620,,ANET,Benzinga,,https://finnhub.io/api/news?id=07505da7f757ef9cdebcfe124aae296dc659a8a9b64b138d963c6b84396a86fb
company,1776955200,"CACI International Q3 Earnings Beat Estimates, Revenues Rise Y/Y",139866346,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ANET,Yahoo,"CACI posts third-quarter earnings and revenue beat, lifts sales outlook on strong demand and backlog growth, but trims profit guidance on higher costs.",https://finnhub.io/api/news?id=7b39347ba9095ca8684740a01c8a661699169e16870dd46299a549dc241b713f
company,1776949740,"Texas Instruments Q1 Earnings Beat Estimates, Revenues Rise Y/Y",139864295,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ANET,Yahoo,"TXN crushes Q1 estimates as revenues jump 19%, while strong industrial and data center demand drive upbeat Q2 guidance above consensus.",https://finnhub.io/api/news?id=5b34128a747d341ead5ecf4da726c3528d10a8dd58c0d3a5069ab2272d849140
company,1776949560,IBM Beats Q1 Earnings Estimates on Solid Revenue & Margin Expansion,139864280,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ANET,Yahoo,IBM topped Q1 2026 estimates as hybrid cloud and AI demand lifted revenue to $15.92B and expanded gross margin to 56.2%.,https://finnhub.io/api/news?id=6b32ae2b19163e468f34e4013dea41ff8429c0f961cb6dad85b30247ddee1dca
company,1776949200,"Lam Research Q3 Earnings Surpass Expectations, Revenues Rise Y/Y",139864229,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ANET,Yahoo,"LRCX beats Q3 FY26 estimates as revenues rise 24%, fueled by AI chip demand and record support sales, while Q4 guidance topped expectations.",https://finnhub.io/api/news?id=c8d4814867e6d68264890afad4fd2a93d3e484658905501fbd3f8616119116d4
company,1776948210,S&P 500 Is Hitting The Upper Circuit: Here's What Happens Next,139865125,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1179979986/image_1179979986.jpg?io=getty-c-w1536,ANET,SeekingAlpha,"SPY hits new highs, but downside risk grows amid the Iran war, narrow breadth, Fed uncertainty, and hyperscaler earnings. Read more macro analysis here.",https://finnhub.io/api/news?id=c08c636273f3760e8165829241b3a23ef43d115ec811ab816bb34aff4fef6eb9
company,1776945249,Jim Cramer on Arista Networks: “A Personal Favorite of Mine”,139862805,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ANET,Yahoo,"Arista Networks Inc. (NYSE:ANET) was among Jim Cramer’s stock calls on Mad Money recently. Cramer called it an “amazing company” during the episode, as he remarked: Next, the only non-semiconductor and non-memory stocks in the top 10 were networking plays… Arista Networks, another major networking play, did make the top 10 with a 41% gain […]",https://finnhub.io/api/news?id=7aa2e5742c724d6572c976b48ea44459f545adb05fabb3d073ca94f0e58d41de
company,1776942206,Arista Stock Hits 52-Week High Amid Google's AI Data Center Shift,139861097,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ANET,Yahoo,Arista stock hit a 52 week high after an analyst predicted upside from a new artificial intelligence data center architecture unveiled by Google.,https://finnhub.io/api/news?id=84e4b44b1cfec84593c48881cf5f6019007883038fb654e037d2db1c1a6cc48d
