category,datetime,headline,id,image,related,source,summary,url
company,1776980210,"Westport Fuel Systems Reports Wider Q4 Net Loss, Lower Revenue; Raises Going Concern Risk",139869655,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FDS,Yahoo,Westport Fuel Systems (WPRT.TO) on Thursday reported a wider loss and lower revenue for the fourth q,https://finnhub.io/api/news?id=7bbb7ffdc914dba70fa83a873f8bd3fcef01c69a55ce9b144dfa7135f1641e3b
company,1776965135,This Finance Player Triggers A Buy Signal With Earnings Ahead,139866623,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FDS,Yahoo,"Wisdom Tree is at multiyear highs and back at levels last seen in December 2015.  The investment management stock is also just below a pivot ahead of earnings, making it Thursday's selection for IBD 50 Growth Stocks To Watch.  Wisdom Tree provides exchange-traded products, private markets investment services and digital asset products.",https://finnhub.io/api/news?id=95276ab42a52b0ded87896224170d3cf2a68c41adeb5b31fdc6593db4a9b9cd7
company,1776963023,Lockheed Martin First-Quarter Results Miss Street Views; Shares Fall,139866325,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FDS,Yahoo,"Lockheed Martin's (LMT) first-quarter earnings decreased more than expected, while its sales fell sh",https://finnhub.io/api/news?id=73b28de4fd952b7b4eb7d16fc4a32585d4f9a48294561a8a051b5631328bc461
company,1776958527,"Shares of companies in the broader financial sector are trading lower amid overall market weakness, as investors react to reports that air defenses were activated in Tehran and to President Trump's social media post.",139867610,,FDS,Benzinga,,https://finnhub.io/api/news?id=ef74d45fe02320fc07fcdacc8fd37eacff45e11cc64273fa092c99bab6e19258
company,1776955705,Thermo Fisher Raises 2026 Outlook Despite First-Quarter Organic Revenue Growth Miss,139864298,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FDS,Yahoo,Thermo Fisher Scientific (TMO) raised its full-year outlook on Thursday as first-quarter results cam,https://finnhub.io/api/news?id=00a116f9ce1174f42b949a3a95b030bf01673a29c7f2a3972218fa9d38ea65e0
company,1776948301,American Express First-Quarter Results Top Street Views; Reaffirms Full-Year Guidance,139862790,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FDS,Yahoo,"American Express (AXP) reported better-than-expected first-quarter results on Thursday, while the pa",https://finnhub.io/api/news?id=46ac94b7fe734d98379488f0f47fcc74006b36b1e2b4f65eb1bb326be8c9f60c
company,1776944619,"Mullen Group Says Acquisitions Drove Q1 Growth; Adds ""Growing Evidence"" Freight Recession Near Needed Inflection Point",139861461,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FDS,Yahoo,"Mullen Group (MTL.TO), in the transportation and logistics industries, reported Thursday mixed earni",https://finnhub.io/api/news?id=51e69cf53fd1b2f6c33922f0dc0f7ce525d3e170665b44341a98b8e595a0dd93
company,1776941363,IBM Maintains 2026 Revenue Growth Outlook as First-Quarter Results Beat Estimates,139861200,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FDS,Yahoo,International Business Machines (IBM) shares fell early Thursday as the technology giant maintained,https://finnhub.io/api/news?id=3cb9edd86f30ab49e45bd08dc488e5ae59a84f41eaa46b287c47fadd7172ab50
company,1776940206,Teck Resources' Q1 Adjusted Earnings Surge YoY on Record Copper Sales,139861463,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FDS,Yahoo,Teck Resources (TECK-B.TO) was at last look down 1.2% in US premarket trade after it earlier Thursda,https://finnhub.io/api/news?id=fb3e93cda16e34a4fe88ebd783a223a3cf9793efcb59e9979bc266bb4110ae67
company,1776940084,"West Pharmaceutical Q1 Non-GAAP Earnings, Net Sales Rise; Issues Q2 Guidance -- Shares Rise Pre-Bell",139861435,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FDS,Yahoo,West Pharmaceutical Services (WST) reported Q1 non-GAAP earnings Thursday of $2.13 per diluted share,https://finnhub.io/api/news?id=77c086af8b3e35a15adb1787cb0f9f7caa1718d0e797514c036d444a15488f4d
company,1776927600,Intel to Report Earnings. The Focus Is on What Comes Next.,139859897,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FDS,Yahoo,"Intel stock has rallied sharply, but investors are focused on whether Intel can attract outside foundry customers and compete in AI chips.",https://finnhub.io/api/news?id=79bf9a276a2b5fd3499e2b313dda43388dec054f6fa18a61fef62cf429920351
