category,datetime,headline,id,image,related,source,summary,url
company,1776987600,HrFlow.ai Secures 7 Million Dollars (Pre-Series A) to Become the Global Standard for Artificial Intelligence (AI) Applied to HR Data,139876439,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UBER,Yahoo,"PARIS, FR / ACCESS Newswire / April 23, 2026 / 1. Fundraising and Objectives HrFlow.ai, a pioneer in Artificial Intelligence applied to Human Resources data, announces its second fundraising round of $7M (pre-Series A) today. This financing brings ...",https://finnhub.io/api/news?id=a15c3e00bcc694377ebe5f4ab7de997c25cf3b5711e736f00334772779a2d86d
company,1776983318,Grab Holdings: The GoTo Merger Scenario Upside,139871577,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1248404617/image_1248404617.jpg?io=getty-c-w1536,UBER,SeekingAlpha,"Grab (GRAB) hits first full-year profit, revenue +20%, and EBITDA +60%. GRAB targets $1.5 billion in EBITDA by 2028. See more details here.",https://finnhub.io/api/news?id=15d2d2a547db12a16fc0b0ae854caf4ea82ad500c0c0befe33945805402c25b3
company,1776973427,Uber Has an 11.52% Stake in Lucid. Does That Make LCID Stock a Buy?,139871347,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UBER,Yahoo,"Uber’s backing sharpens Lucid’s robotaxi narrative, but the company still needs to prove it can scale production and revenue.",https://finnhub.io/api/news?id=6d413189ff289ecf62bd833f3c8bfe1a6f6f155ddf3d0d316e6f8a1e79a985a1
company,1776967288,Lucid Tanks 10%: Is a Saudi PIF Buyout the Only Way Out for This Struggling EV Maker?,139867872,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UBER,Yahoo,"Shares of Lucid Group (NASDAQ:LCID) are down roughly 10% in midday trading Thursday, slipping to $6.22 from a prior close of $6.91. The slide puts the struggling EV maker’s market capitalization at roughly $2.31 billion, hovering just above its 52-week low of $6.75. The catalyst is fresh speculation that Saudi Arabia’s Public Investment Fund (PIF), ... Lucid Tanks 10%: Is a Saudi PIF Buyout the Only Way Out for This Struggling EV Maker?",https://finnhub.io/api/news?id=f1bd2b1ca6a55bd00f149bb73e85645891a34d81c5ebe8c73ff8773bdcad2d68
company,1776954748,London Stock Exchange Group Q1 Earnings Call Highlights,139864327,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UBER,Yahoo,"London Stock Exchange Group (LON:LSEG) reported what Chief Executive Officer David Schwimmer called a “record quarter” in Q1 2026, highlighting broad-based strength across subscription businesses alongside a sharp increase in Markets revenue amid higher volatility. Management said the performance le",https://finnhub.io/api/news?id=a5f74fbbe50b8d8e9ed66bb0e67503cb8777a82738ab8a869dda441e66fed789
company,1776953261,Tesla earnings: Do investors need more guidance on timelines?,139864130,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UBER,Yahoo,"Tesla (TSLA) beat earnings and revenue estimates for its first quarter of 2026 as CEO Elon Musk struck a calmer tone in the company's earnings call. The stock has retreated from Wednesday's extended-hours gains after crossing above $400 per share in reaction to earnings results. Yahoo Finance Executive Editor Brian Sozzi is joined by Senior Reporters Pras Subramanian and Brooke DiPalma and Slatestone Wealth's Kenny Polcari to discuss how investors are reacting to Tesla's latest figures and forecasts, especially as the EV maker leans heavier into robotics and chip manufacturing.",https://finnhub.io/api/news?id=fbd88266b1f1e33ad7bfe31d06f003c063c10df932e9a3a0dcd5b0c6a0d06e2a
company,1776953160,Is Uber's Deal With Block a Game Changer in the Global Payment Space?,139864329,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UBER,Yahoo,Uber's deal with Block expands Square's Uber Eats integration across new markets. This deal adds Cash App Pay on Uber and Uber Eats in the United States.,https://finnhub.io/api/news?id=8d804649703c01010bfe68ddf8ecf4ce8fade3b4759bfcea5530728981948a3d
company,1776951789,What Makes Uber Technologies (UBER) a Lucrative Investment?,139862807,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UBER,Yahoo,"Montaka Global Investments, an investment management company, released its first-quarter 2026 investor letter. A copy of the letter is available to download here. The March quarter was dominated by Iran’s geopolitical conflict, which sharply revised stocks’ valuation multiples. In Q1, the portfolio holdings declined due to valuation changes, but the firm trusts in the stocks’ […]",https://finnhub.io/api/news?id=57da7b220c6c50d520aa0bb638390558e5cd8afd08e5b3b45d6f61609648ac83
company,1776945900,EBANX reinforces global executive team with CTO and CHRO appointments,139862601,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UBER,Yahoo,"Kalecser Kurtz, after 10 years at EBANX, becomes Chief Technology Officer; Jefferson Nunes joins as Chief Human Resources Officer, coming from Uber’s LatAm HR leadership; and Isabela Rebello joins as VP of Global Risk and Compliance, after holding executive positions at Amazon, Stripe, and BTG PactualCURITIBA, Brazil, April 23, 2026 (GLOBE NEWSWIRE) -- EBANX, a global payments technology company specializing in emerging markets, announced today the strengthening of its executive leadership team",https://finnhub.io/api/news?id=ffb6f285c567780b65bad8c40ab32185a471ae29019c3238fa3c356481639ec7
company,1776942300,Ex-Wall Street trader now drives for Uber and Lyft — how he's surviving high gas prices putting other drivers in the red,139861228,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UBER,Yahoo,Uber drivers were taking home $15 to $18 an hour before spiking gas prices.,https://finnhub.io/api/news?id=529ad12cfbaa4c74ae9df3240d329de02c57c9f6c1ae322cc01d8e776af3cfe1
company,1776935065,Alpha Buying: The Signal That Actually Matters,139866006,https://cdn.benzinga.com/files/images/story/2026/04/23/Cyberpunk-Photo-Of-An-Upward-trending-Sa_1.jpeg?width=2048&height=1536,UBER,Benzinga, ,https://finnhub.io/api/news?id=79647e977fa62ec2628247eb97ee4a3843544d9a4f2f53f304785822bbc13cb2
company,1776910670,Block And Uber Tie Up Connects Cash App And Square To Everyday Spending,139857443,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UBER,Yahoo,"Block (NYSE:XYZ) announced a global partnership with Uber, expanding Square’s native integration with Uber Eats into new international markets. The agreement also introduces Cash App Pay as a payment option for U.S. users on both Uber and Uber Eats. This move connects Block’s point of sale tools and digital wallet with one of the largest food delivery and ride hailing platforms worldwide. For investors watching Block at a current share price of $72.5, this partnership comes alongside double...",https://finnhub.io/api/news?id=1a094756de4d27491b0286e3b31f3b4483caf1cfdf59c884289c57c1de63b139
