category,datetime,headline,id,image,related,source,summary,url
company,1776985080,Kinder Morgan: Thank Storm Fern And All Of The Cold Weather After That,139871657,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2151357724/image_2151357724.jpg?io=getty-c-w1536,KMI,SeekingAlpha,Kinder Morgan (KMI) posts standout Q1 but earnings surge may be nonrecurring; guidance holds. See how acquisitions and projects could drive growth. Read now.,https://finnhub.io/api/news?id=b8ba3601ebc6d27522164e4050179429c88de1a9fec2c32b5f9ade7b2f9831bc
company,1776979140,This Stock Has a 3.8% Dividend Yield—and Could Benefit From AI,139876511,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KMI,Yahoo,"Kinder Morgan raised its dividend after first-quarter earnings, and rising AI-driven power demand could support long-term growth.",https://finnhub.io/api/news?id=5b8ef2433bda652131b977564ab3c2fffd7304423bfc24a9ceb8c584e3670bad
company,1776979140,This Pipeline Stock Has a 3.8% Dividend Yield and Exposure to AI,139869581,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KMI,Yahoo,"Kinder Morgan raised its dividend after first-quarter earnings, and rising AI-driven power demand could support long-term growth.",https://finnhub.io/api/news?id=5249c2a8013980577c722f219a513fb59068d112cc33e1211f1c43e3300762fd
company,1776970873,Kinder Morgan Earnings: Strong Q1 Results & Data Center Wins,139889565,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KMI,Yahoo,"Kinder Morgan (KMI) delivered a robust start to 2026, posting first-quarter results that exceeded internal budgets and prompted an upward revision to full-year guidance. The midstream company is capitalizing on a tightening energy infrastructure landscape, driven by a surge in natural gas demand for power generation and liquefied natural gas (LNG) exports. Key Takeaways Kinder [...]",https://finnhub.io/api/news?id=feec925d1e4ce82075e993d658e96e1aeb28dd8a4361a97ebc78f292380e615e
company,1776952969,"Jefferies Maintains Hold on Kinder Morgan, Lowers Price Target to $34",139869696,,KMI,Benzinga,Jefferies  analyst Julien Dumoulin-Smith   maintains Kinder Morgan (NYSE:KMI) with a Hold and lowers the price target from $36 to $34.,https://finnhub.io/api/news?id=5d93d384f1987d3dc030c6d86b8ebe58536be7a53b448f30b03a32cbdb21bf39
company,1776951600,Kinder Morgan's Q1 Earnings Beat on Natural Gas Pipeline Strength,139864225,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KMI,Yahoo,"KMI's bottom line beats Q1 2026 estimates as Natural Gas Pipelines drive earnings, with strong volumes and a $10.1B backlog supporting growth outlook.",https://finnhub.io/api/news?id=cd08cf5c91127f9ecb5a644d290ed4c1b932873084f136ab8d2dfa4ee8421b7c
company,1776948855,Kinder Morgan: The Case To $40 Is Here (Rating Upgrade),139865171,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1730631497/image_1730631497.jpg?io=getty-c-w1536,KMI,SeekingAlpha,Kinder Morgan is a buy as structural tailwinds and a tripled backlog have transformed it into an infrastructure growth play. Click for more on KMI stock.,https://finnhub.io/api/news?id=0f7006c6e79e2910f0aff4c9b947cfd3143cea532d66a35ca7aa44043f99f2d2
company,1776947400,"Kinder Morgan, Inc. Q1 2026 Earnings Call Summary",139875319,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KMI,Yahoo,"Moby summary of Kinder Morgan, Inc.'s Q1 2026 earnings call",https://finnhub.io/api/news?id=1e095a6c31cc4b54644556632e9a4ffea24b14006011873b3795abe89b5b7ad0
company,1776947363,KMI Q1 Deep Dive: Natural Gas Demand and Expansion Projects Drive Outperformance,139862908,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KMI,Yahoo,"Energy infrastructure company Kinder Morgan (NYSE:KMI) beat Wall Street’s revenue expectations in Q1 CY2026, with sales up 13.8% year on year to $4.83 billion. Its non-GAAP profit of $0.48 per share was 22.1% above analysts’ consensus estimates.",https://finnhub.io/api/news?id=fefb3a6dd1e40551f1c0bf8860a88acebe1cef8e92affc5226999939bf924482
company,1776927950,Kinder Morgan Inc (KMI) Q1 2026 Earnings Call Highlights: Strong Financial Performance and ...,139859147,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KMI,Yahoo,"Kinder Morgan Inc (KMI) reports significant growth in earnings and EBITDA, announces strategic pipeline acquisition, and addresses challenges in product volumes and infrastructure expansion.",https://finnhub.io/api/news?id=1024a9ba0b5e53e4dcc21abdbc5c127c4f601f195bf639e112fc66e0721c5605
company,1776926260,Phillips 66 (PSX) and Kinder Morgan Advance Western Gateway Pipeline Project,139859146,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KMI,Yahoo,"Phillips 66 (NYSE:PSX) is one of the 10 Stocks to Buy on a Pullback. On April 20, 2026, Phillips 66 (NYSE:PSX) and Kinder Morgan announced progress on the Western Gateway Pipeline after a successful second open season secured sufficient long-term shipper commitments to advance the project, pending final agreements and board approvals. The proposed system […]",https://finnhub.io/api/news?id=ddc7d6950817897030f61553d44e7398dc9c78918b34cf22659314b6534ddca4
company,1776918589,Western Gateway Pipeline Reconfiguration Could Be A Game Changer For Phillips 66 (PSX),139858276,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KMI,Yahoo,"On 20 April 2026, Phillips 66 and Kinder Morgan announced progress on the Western Gateway refined products pipeline, having secured long-term shipper commitments to advance a system linking Midwest and Gulf Coast refinery supply to Phoenix, California, and Las Vegas, with a targeted in-service date of mid-2029. A distinctive feature of this project is the planned reversal of both Kinder Morgan’s SFPP pipeline and Phillips 66’s Gold Pipeline, reconfiguring existing infrastructure to redirect...",https://finnhub.io/api/news?id=379a4a686fa077feaaeada43ed30bd0a12854c357255150cc5f89da3ad3d66c3
company,1776913800,Kinder Morgan Earnings Surge as Gas Pipeline Demand Drives Growth,139858278,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KMI,Yahoo,Kinder Morgan posted sharply higher first-quarter earnings and reaffirmed its growth outlook as rising natural gas demand and pipeline utilization supported strong financial performance.,https://finnhub.io/api/news?id=d8b8b5f73fa39f4e593886d0d8ded051ae061c78a185a0e1051496d825136050
company,1776904202,Kinder Morgan (KMI) Reports Q1 Earnings: What Key Metrics Have to Say,139858279,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KMI,Yahoo,"While the top- and bottom-line numbers for Kinder Morgan (KMI) give a sense of how the business performed in the quarter ended March 2026, it could be worth looking at how some of its key metrics compare to Wall Street estimates and year-ago values.",https://finnhub.io/api/news?id=abc1a91aa4e131cc3a42fdd8f5ec8770ee9dea9d926581af8551863a0e4c7fa1
