category,datetime,headline,id,image,related,source,summary,url
company,1777056967,Cramer looks ahead to next week's big tech earnings,139888347,https://image.cnbcfm.com/api/v1/image/108297234-6ED3-MM-A-BLOCK-042426.jpg?v=1777070551&w=1920&h=1080,GLW,CNBC,'Mad Money' host Jim Cramer looks ahead to next week's market moving moments.,https://finnhub.io/api/news?id=b1cfed3ba8249597ee87e1aaf0d63aa41ba7634398bd0cae24f1bcaa25fed8e9
company,1777050117,Corning Inc files for mixed shelf offering size not disclosed,139881270,,GLW,Finnhub,Corning Inc: Corning Inc files for mixed shelf offering; size not disclosed - SEC FILING...,https://finnhub.io/api/news?id=7e9d96eddf659d23af46ef47d07a04dca8bfe29abae1b139e366a7a745cd69ba
company,1777048374,Corning Files For Mixed Shelf Offering; Size Not Disclosed,139882482,,GLW,Benzinga,CORNING INCORPORATED Debt SecuritiesWarrants to Purchase Debt or Equity SecuritiesPreferred StockDepositary SharesCommon StockWe may offer from time to time:·debt securities;·warrants to purchase our debt or equity,https://finnhub.io/api/news?id=589f51bbc01132b1441b7898402000340028798b784aa649112d91d10ab0c3a8
company,1777045620,GLW Stock Before Q1 Earnings: Is it a Smart Buy or Risky Move?,139879516,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GLW,Yahoo,"Corning heads into Q1 earnings with rising estimates, a $6B Meta deal, and AI-driven innovations shaping growth prospects.",https://finnhub.io/api/news?id=94c1fc3e452721fd7b54d0eaf8301ce603effab61829232ade5d3db6679ff4c4
company,1777042320,3 Telecom Stocks Likely to Surpass Q1 Earnings Estimates,139879513,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GLW,Yahoo,"ANET, GLW and TMUS may top Q1 earnings estimates as 5G rollout, fiber densification and AI-driven demand lift telecom.",https://finnhub.io/api/news?id=e7de008adec264f5f92ee2cc6493470a6bfb323be93f8a444734e23f1fc5ace8
company,1777038120,"Intel Q1 Earnings Surpass Estimates, Revenues Increase Y/Y",139877696,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GLW,Yahoo,"INTC posts strong Q1 2026 results as revenues rise 7%, fueled by Xeon CPUs, AI PCs, foundry growth and stronger pricing.",https://finnhub.io/api/news?id=09a9ef4910188e637477dc568f0ffa41a0438b0972682c94ea95a5af47ecbc0d
company,1777037720,10 Information Technology Stocks Whale Activity In Today's Session,139880297,https://cdn.benzinga.com/files/images/story/2025/11/06/aggregated_options_3.jpg?width=2048&height=1536,GLW,Benzinga, ,https://finnhub.io/api/news?id=92e92e6d22b6169c62d0a696e2cf4b30252df0d2dbc3d8b3e686a88e472148fe
company,1777035604,Here is What to Know Beyond Why Owens Corning Inc (OC) is a Trending Stock,139877735,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GLW,Yahoo,"Recently, Zacks.com users have been paying close attention to Owens Corning (OC). This makes it worthwhile to examine what the stock has in store.",https://finnhub.io/api/news?id=05ddf9375bde41442fa35e8e7188afa0fb6c4600417de6603f286093ecd586e8
company,1777028778,Assessing Whether Corning (GLW) Shares Look Overvalued After Strong Recent Momentum,139875282,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GLW,Yahoo,"Why Corning (GLW) Is Back on Investor Radar Corning (GLW) has drawn fresh attention after a strong run in recent performance metrics, with the share price showing double digit returns over the past month and over the past three months. See our latest analysis for Corning. Beyond the recent surge, Corning’s share price has a 30 day share price return of 19.36% and a 90 day share price return of 81.67%, while the 1 year total shareholder return is 292.10%. This suggests strong momentum has...",https://finnhub.io/api/news?id=abf99c551f157aa05c712a0a4134dd2017531945384aafb87468692d1056cf80
company,1777022040,"Zacks.com featured highlights include Cummins, Analog, Amphenol and Morgan Stanley",139875234,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GLW,Yahoo,"Cummins, Analog, Amphenol and Morgan Stanley have been highlighted in this Screen of the Week article.",https://finnhub.io/api/news?id=b6ea0c66deed91aeae1a2add995ee2f47cd27b6760b7fd88b4738321d3719216
company,1777016984,"Congresswoman Discloses Hundreds Of Thousands In Stock Trades, Here's What She Bought",139876713,https://cdn.benzinga.com/files/images/story/2026/04/24/Congressional-Trades.jpeg?width=2048&height=1536,GLW,Benzinga,"A member of Congress recently bought hundreds of thousands of dollars in stocks, marking her first trades since 2024.",https://finnhub.io/api/news?id=f02272094e6d62a07f4e06f7b5b15200747778486a5f258194d2aa76b53d25c2
company,1776993074,Is It Too Late To Consider Corning (GLW) After Its Huge 1-Year Share Price Surge?,139871359,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GLW,Yahoo,"Investors may be wondering whether Corning's share price still offers value after a strong run, or if the easier gains may already have passed. At a last close of US$169.50, Corning has delivered returns of 2.1% over 7 days, 19.4% over 30 days, 86.9% year to date and 292.1% over 1 year, with 3-year and 5-year returns of 458.9% and 328.9% respectively. Recent news flow around Corning has kept investors focused on how the business is positioned within the tech sector and how that positioning...",https://finnhub.io/api/news?id=174aac1e1a1fb36bdd4ca3cc2e9832c5275a49081b1f9c1668f6dce823822207
